#Base	N-Count
1	0.10065730969102768
2	6.382767086687605E-4
3	0.004151480441257316
4	0.006240629836437838
5	5.980491850131664E-4
6	0.0
7	4.290935856596709E-4
8	0.0
9	8.581871713193418E-5
10	0.0
11	1.501827549808848E-4
12	2.976836750513967E-4
13	0.0
14	0.0023492873814866984
15	1.3409174551864716E-5
16	3.2718385906549906E-4
17	3.3254752888624495E-4
18	2.4136514193356487E-5
19	0.001410645162856168
20	2.681834910372943E-6
21	0.0026657439009107053
22	0.00286151784936793
23	8.367324920363582E-4
24	0.0013945541533939305
25	0.002488742796826091
26	1.3409174551864716E-5
27	5.497761566264533E-4
28	0.0
29	0.0020784220555390307
30	0.002309059857831104
31	5.363669820745886E-6
32	0.0
33	8.715963458712067E-4
34	2.440469768439378E-4
35	5.363669820745886E-6
36	0.004923848895444723
37	0.004846075683043909
38	0.014382680624330093
39	0.006326448553569773
40	0.0013918723184835574
41	0.0015527824131059342
42	0.0018129203994121097
43	2.3331963720244606E-4
44	7.50913774904424E-5
45	0.004130025761974333
46	0.004095161908139484
47	0.02380128482955987
48	9.600968979135136E-4
49	6.409585435791334E-4
50	0.005782036066764066
51	0.0011102796528943985
52	0.0032798840953861094
53	7.750502890977807E-4
54	0.0021106040744635064
55	0.008085732254774424
56	0.0017324653521009212
57	0.06851283645529758
58	0.005151804862826424
59	0.00574985404783959
60	0.009901334489096907
61	0.006613404888979678
62	0.0072329087532758286
63	0.008096459594415916
64	0.009450786224154252
65	0.016734649840727166
66	0.011842982964206918
67	0.011421934883278365
68	0.01245712315868232
69	0.012277440219687333
70	0.02007085246923111
71	0.018676298315837177
72	0.015122867059593027
73	0.0035802496053478792
74	0.06502913290672313
75	7.616411145459158E-4
