#Base	N-Count
1	0.08362497617524911
2	0.036561455333114334
3	1.930921135468519E-4
4	0.00414611677143657
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	3.3791119870699084E-4
11	0.0
12	0.0
13	0.0
14	6.919134068762193E-4
15	2.681834910372943E-6
16	0.001520600394181459
17	0.0
18	0.0
19	0.0
20	8.045504731118831E-5
21	0.0
22	0.0
23	1.3409174551864716E-5
24	0.0
25	6.704587275932358E-5
26	0.0022366503152510347
27	7.696866192770348E-4
28	4.4518459512190857E-4
29	0.0
30	6.972770766969652E-4
31	2.0918312300908956E-4
32	2.6818349103729434E-4
33	9.761879073757512E-4
34	2.681834910372943E-6
35	5.149123027916051E-4
36	0.0013596902995590822
37	0.0
38	7.777321240081535E-5
39	6.865497370554735E-4
40	0.002507515641198702
41	6.007310199235392E-4
42	2.4136514193356487E-5
43	3.78138722362585E-4
44	0.0029580639061413563
45	5.6318533117831814E-5
46	0.0024243787589771407
47	0.0011236888274462633
48	2.36001472112819E-4
49	5.980491850131664E-4
50	2.869563354099049E-4
51	1.3409174551864716E-5
52	8.0186863820151E-4
53	3.566840430796014E-4
54	1.87728443726106E-5
55	0.00502039495221815
56	1.1531890114603657E-4
57	1.609100946223766E-5
58	5.363669820745886E-6
59	0.00240560591460453
60	3.2182018924475323E-4
61	2.0381945318834367E-4
62	0.0015152367243607128
63	1.7700110408461425E-4
64	8.796418506023252E-4
65	0.002134740588656863
66	2.547743164854296E-4
67	0.0019309211354685192
68	0.0015152367243607128
69	6.007310199235392E-4
70	0.0015152367243607128
71	0.0022741960039962556
72	0.0019148301260062815
73	2.36001472112819E-4
74	3.218201892447532E-5
75	4.934576235086216E-4
