#Quality	Count
13	1.0
14	2.0
15	2.0
16	5.0
17	43.0
18	136.0
19	287.0
20	662.0
21	1309.0
22	2675.0
23	5528.0
24	10804.0
25	19864.0
26	34365.0
27	56173.0
28	86466.0
29	128447.0
30	181958.0
31	248952.0
32	332223.0
33	437187.0
34	570835.0
35	748519.0
36	999250.0
37	1394311.0
38	2161980.0
39	4670723.0
40	2.5195196E7
