#Quality	Count
12	139.0
13	149.0
14	726.0
15	5503.0
16	24890.0
17	66334.0
18	114261.0
19	152554.0
20	178611.0
21	201629.0
22	225560.0
23	256275.0
24	291070.0
25	332972.0
26	382065.0
27	437549.0
28	501040.0
29	577700.0
30	668191.0
31	772265.0
32	895924.0
33	1046943.0
34	1241440.0
35	1491396.0
36	1834544.0
37	2350874.0
38	3345759.0
39	6279950.0
40	1.361159E7
